candidate_id,tool,case_id,seed,repeat,status,evidence_level,measurement_kind,trace_csv_path,trace_sha256,registered_trace_sha256,registered_packet_count,logical_bits,wire_bits,padding_bits,drain_cycles,offered_packets,injected_packets,delivered_packets,undrained_packets,total_cycles,network_makespan_cycles,packet_latency_avg,packet_latency_p95,throughput_packets_per_cycle,timeout,canonical_delivery_trace_hash,canonical_metrics_hash,computed_shared_metrics_hash,queue_occupancy_avg_flits,queue_occupancy_max_flits,congestion_cycles,router_conflict_stalls,backpressure_events,injection_queue_stalls,config_hash,model_hash,dataset_hash,prediction_hash,lowering_hash,runtime_or_tool,tool_git_commit,adapter_patch_sha256,binary_sha256,raw_path,claim_boundary
c-fb6339889a1b3ab8,BookSim2,conv1,40,0,completed,numerical,booksim2_trace_packet_cycle_runtime,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/conv1.csv,565694a7c3e374f195a2bf8e845f7f55d423ae331a11d8f6b4126b5a4123723f,565694a7c3e374f195a2bf8e845f7f55d423ae331a11d8f6b4126b5a4123723f,4502,576192,576256,64,37040,4502,4502,4502,0,10936,10936,3149.705686361617,6848.0,0.41166788588149233,False,9a6fc074e9d56b2d0cf5c0c05912e46449d807672b5df74abbfd0b8a9a8045b7,0da1899e2f418297734e76808068815594b6a0ce623795923365bf22e4d6be08,0da1899e2f418297734e76808068815594b6a0ce623795923365bf22e4d6be08,,,,,,,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,BookSim2,28f43299f1706a3160ffac721ca461d74eb6e618,ee2ec50d05dfc439d371b34766d7a096604d4d822434f6ac61661a088dd5f977,44b617ec81bcdb7496ee86acab011f5d7d00c0716ae65150a11777a2b84c4cbd,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_booksim2/c-fb6339889a1b3ab8.json,"CNN-shape-derived NoC trace; no CNN arithmetic, accuracy, or cycle-exact cross-tool claim"
c-8d8306e16d420d08,BookSim2,conv1,40,1,completed,numerical,booksim2_trace_packet_cycle_runtime,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/conv1.csv,565694a7c3e374f195a2bf8e845f7f55d423ae331a11d8f6b4126b5a4123723f,565694a7c3e374f195a2bf8e845f7f55d423ae331a11d8f6b4126b5a4123723f,4502,576192,576256,64,37040,4502,4502,4502,0,10936,10936,3149.705686361617,6848.0,0.41166788588149233,False,9a6fc074e9d56b2d0cf5c0c05912e46449d807672b5df74abbfd0b8a9a8045b7,0da1899e2f418297734e76808068815594b6a0ce623795923365bf22e4d6be08,0da1899e2f418297734e76808068815594b6a0ce623795923365bf22e4d6be08,,,,,,,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,BookSim2,28f43299f1706a3160ffac721ca461d74eb6e618,ee2ec50d05dfc439d371b34766d7a096604d4d822434f6ac61661a088dd5f977,44b617ec81bcdb7496ee86acab011f5d7d00c0716ae65150a11777a2b84c4cbd,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_booksim2/c-8d8306e16d420d08.json,"CNN-shape-derived NoC trace; no CNN arithmetic, accuracy, or cycle-exact cross-tool claim"
c-e97eecbfdc438f8d,BookSim2,conv2,40,0,completed,numerical,booksim2_trace_packet_cycle_runtime,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/conv2.csv,58ddd0650d9302d4f09f02f4745492b87a042aedc330c8c3f482177f1a53ef2c,58ddd0650d9302d4f09f02f4745492b87a042aedc330c8c3f482177f1a53ef2c,3256,416768,416768,0,27072,3256,3256,3256,0,9035,9035,2808.3301597051595,5696.0,0.3603763143331489,False,e324dce06d2d1cdf0f887332010ae644272bb5da044cf8126a9e7567e5987714,851b108fe9296657db5ba30c15f7e36ad96b7b842108d0c58e6b3beaa4480db7,851b108fe9296657db5ba30c15f7e36ad96b7b842108d0c58e6b3beaa4480db7,,,,,,,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,BookSim2,28f43299f1706a3160ffac721ca461d74eb6e618,ee2ec50d05dfc439d371b34766d7a096604d4d822434f6ac61661a088dd5f977,44b617ec81bcdb7496ee86acab011f5d7d00c0716ae65150a11777a2b84c4cbd,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_booksim2/c-e97eecbfdc438f8d.json,"CNN-shape-derived NoC trace; no CNN arithmetic, accuracy, or cycle-exact cross-tool claim"
c-d9f523bafb91f813,BookSim2,conv2,40,1,completed,numerical,booksim2_trace_packet_cycle_runtime,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/conv2.csv,58ddd0650d9302d4f09f02f4745492b87a042aedc330c8c3f482177f1a53ef2c,58ddd0650d9302d4f09f02f4745492b87a042aedc330c8c3f482177f1a53ef2c,3256,416768,416768,0,27072,3256,3256,3256,0,9035,9035,2808.3301597051595,5696.0,0.3603763143331489,False,e324dce06d2d1cdf0f887332010ae644272bb5da044cf8126a9e7567e5987714,851b108fe9296657db5ba30c15f7e36ad96b7b842108d0c58e6b3beaa4480db7,851b108fe9296657db5ba30c15f7e36ad96b7b842108d0c58e6b3beaa4480db7,,,,,,,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,BookSim2,28f43299f1706a3160ffac721ca461d74eb6e618,ee2ec50d05dfc439d371b34766d7a096604d4d822434f6ac61661a088dd5f977,44b617ec81bcdb7496ee86acab011f5d7d00c0716ae65150a11777a2b84c4cbd,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_booksim2/c-d9f523bafb91f813.json,"CNN-shape-derived NoC trace; no CNN arithmetic, accuracy, or cycle-exact cross-tool claim"
c-3c9a76e98e974aeb,BookSim2,fc1,40,0,completed,numerical,booksim2_trace_packet_cycle_runtime,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/fc1.csv,ceb882f04d373e9c8a032be13e9ab9929c1305f3037c223797334947a67b94af,ceb882f04d373e9c8a032be13e9ab9929c1305f3037c223797334947a67b94af,7774,995072,995072,0,63216,7774,7774,7774,0,23267,23267,7736.205428350913,14733.0,0.33412128766063526,False,96d5145fe6268f215c92f65c8cbb0986cb10dc4a331667ed7893d71addf5aa24,8f71e7fd41b3589ff55868d6095383f1f889f26339f41ca2c7c482838ab73003,8f71e7fd41b3589ff55868d6095383f1f889f26339f41ca2c7c482838ab73003,,,,,,,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,BookSim2,28f43299f1706a3160ffac721ca461d74eb6e618,ee2ec50d05dfc439d371b34766d7a096604d4d822434f6ac61661a088dd5f977,44b617ec81bcdb7496ee86acab011f5d7d00c0716ae65150a11777a2b84c4cbd,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_booksim2/c-3c9a76e98e974aeb.json,"CNN-shape-derived NoC trace; no CNN arithmetic, accuracy, or cycle-exact cross-tool claim"
c-ab74d8874c2c9f66,BookSim2,fc1,40,1,completed,numerical,booksim2_trace_packet_cycle_runtime,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/fc1.csv,ceb882f04d373e9c8a032be13e9ab9929c1305f3037c223797334947a67b94af,ceb882f04d373e9c8a032be13e9ab9929c1305f3037c223797334947a67b94af,7774,995072,995072,0,63216,7774,7774,7774,0,23267,23267,7736.205428350913,14733.0,0.33412128766063526,False,96d5145fe6268f215c92f65c8cbb0986cb10dc4a331667ed7893d71addf5aa24,8f71e7fd41b3589ff55868d6095383f1f889f26339f41ca2c7c482838ab73003,8f71e7fd41b3589ff55868d6095383f1f889f26339f41ca2c7c482838ab73003,,,,,,,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,BookSim2,28f43299f1706a3160ffac721ca461d74eb6e618,ee2ec50d05dfc439d371b34766d7a096604d4d822434f6ac61661a088dd5f977,44b617ec81bcdb7496ee86acab011f5d7d00c0716ae65150a11777a2b84c4cbd,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_booksim2/c-ab74d8874c2c9f66.json,"CNN-shape-derived NoC trace; no CNN arithmetic, accuracy, or cycle-exact cross-tool claim"
c-58eca0c32e339ce8,BookSim2,fc2,40,0,completed,numerical,booksim2_trace_packet_cycle_runtime,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/fc2.csv,c98d40d44ed997d5f49c1470553e4adf923c20f1f2cedaeea412ff012cdcaefb,c98d40d44ed997d5f49c1470553e4adf923c20f1f2cedaeea412ff012cdcaefb,2571,329088,329088,0,21592,2571,2571,2571,0,7685,7685,2551.2683780630105,4865.0,0.33454782042940795,False,b2f8b12d742acf2e71c204dc1800f2e3d4449818e878329e8ba0e26802af2059,51165bb8b3eecb4060bf79a87b80134d819dea96f29dd3e1600054195b448952,51165bb8b3eecb4060bf79a87b80134d819dea96f29dd3e1600054195b448952,,,,,,,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,BookSim2,28f43299f1706a3160ffac721ca461d74eb6e618,ee2ec50d05dfc439d371b34766d7a096604d4d822434f6ac61661a088dd5f977,44b617ec81bcdb7496ee86acab011f5d7d00c0716ae65150a11777a2b84c4cbd,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_booksim2/c-58eca0c32e339ce8.json,"CNN-shape-derived NoC trace; no CNN arithmetic, accuracy, or cycle-exact cross-tool claim"
c-f0312ce8296e6121,BookSim2,fc2,40,1,completed,numerical,booksim2_trace_packet_cycle_runtime,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/fc2.csv,c98d40d44ed997d5f49c1470553e4adf923c20f1f2cedaeea412ff012cdcaefb,c98d40d44ed997d5f49c1470553e4adf923c20f1f2cedaeea412ff012cdcaefb,2571,329088,329088,0,21592,2571,2571,2571,0,7685,7685,2551.2683780630105,4865.0,0.33454782042940795,False,b2f8b12d742acf2e71c204dc1800f2e3d4449818e878329e8ba0e26802af2059,51165bb8b3eecb4060bf79a87b80134d819dea96f29dd3e1600054195b448952,51165bb8b3eecb4060bf79a87b80134d819dea96f29dd3e1600054195b448952,,,,,,,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,BookSim2,28f43299f1706a3160ffac721ca461d74eb6e618,ee2ec50d05dfc439d371b34766d7a096604d4d822434f6ac61661a088dd5f977,44b617ec81bcdb7496ee86acab011f5d7d00c0716ae65150a11777a2b84c4cbd,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_booksim2/c-f0312ce8296e6121.json,"CNN-shape-derived NoC trace; no CNN arithmetic, accuracy, or cycle-exact cross-tool claim"
c-b55e273ccbc56f63,BookSim2,fc3,40,0,completed,numerical,booksim2_trace_packet_cycle_runtime,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/fc3.csv,362681f361bf9f428ff9c8b3a583939b9e03b3ef9f15975447902550628109e4,362681f361bf9f428ff9c8b3a583939b9e03b3ef9f15975447902550628109e4,234,29888,29952,64,4096,234,234,234,0,728,728,249.82051282051282,460.0,0.32142857142857145,False,9dc0bac4d43086b3573800b0d2f70df304290df313f976fcc5629a8a1c94523b,0861d3eea9f989067d0e919b3e48aa9ab1210a065b912afeaa1990e097c31e06,0861d3eea9f989067d0e919b3e48aa9ab1210a065b912afeaa1990e097c31e06,,,,,,,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,BookSim2,28f43299f1706a3160ffac721ca461d74eb6e618,ee2ec50d05dfc439d371b34766d7a096604d4d822434f6ac61661a088dd5f977,44b617ec81bcdb7496ee86acab011f5d7d00c0716ae65150a11777a2b84c4cbd,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_booksim2/c-b55e273ccbc56f63.json,"CNN-shape-derived NoC trace; no CNN arithmetic, accuracy, or cycle-exact cross-tool claim"
c-5ccdf7493ac27767,BookSim2,fc3,40,1,completed,numerical,booksim2_trace_packet_cycle_runtime,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/fc3.csv,362681f361bf9f428ff9c8b3a583939b9e03b3ef9f15975447902550628109e4,362681f361bf9f428ff9c8b3a583939b9e03b3ef9f15975447902550628109e4,234,29888,29952,64,4096,234,234,234,0,728,728,249.82051282051282,460.0,0.32142857142857145,False,9dc0bac4d43086b3573800b0d2f70df304290df313f976fcc5629a8a1c94523b,0861d3eea9f989067d0e919b3e48aa9ab1210a065b912afeaa1990e097c31e06,0861d3eea9f989067d0e919b3e48aa9ab1210a065b912afeaa1990e097c31e06,,,,,,,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,BookSim2,28f43299f1706a3160ffac721ca461d74eb6e618,ee2ec50d05dfc439d371b34766d7a096604d4d822434f6ac61661a088dd5f977,44b617ec81bcdb7496ee86acab011f5d7d00c0716ae65150a11777a2b84c4cbd,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_booksim2/c-5ccdf7493ac27767.json,"CNN-shape-derived NoC trace; no CNN arithmetic, accuracy, or cycle-exact cross-tool claim"
c-2b4cf12a6ed1af66,BookSim2,sequential_network,40,0,completed,numerical,booksim2_trace_packet_cycle_runtime,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_traces/sequential_network.csv,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a,18337,2347008,2347136,128,147720,18337,18337,18337,0,51524,51524,15252.501227027322,31203.0,0.35589239965841163,False,9829022a3195ef6372584173f096623bdc294fb626d6aa8ce21c1a385118fb94,4e96547eeba205af07bd0d0763db1a4e6e4baf89b1f78561e42f70a487f676e7,4e96547eeba205af07bd0d0763db1a4e6e4baf89b1f78561e42f70a487f676e7,,,,,,,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,58481a24c582fffdb3ee63a052ea16ea08c1d0f8e90b2abbdb24a96c77055ad3,9d56dbfd0611130a20aec9638bb9ce935dc023c17f6b0815e83b4b3a27efaa26,98311305665da9094b2d693a241b76172e8d7e4a0533a0242bb62c9a9706f7a9,BookSim2,28f43299f1706a3160ffac721ca461d74eb6e618,ee2ec50d05dfc439d371b34766d7a096604d4d822434f6ac61661a088dd5f977,44b617ec81bcdb7496ee86acab011f5d7d00c0716ae65150a11777a2b84c4cbd,experiments/aspdac/results/final_20260716/raw/mnist_cnn_noc_booksim2/c-2b4cf12a6ed1af66.json,"CNN-shape-derived NoC trace; no CNN arithmetic, accuracy, or cycle-exact cross-tool claim"
