scope,candidate_id,profile_id,repeat,layer_id,mode,image_count,logical_bits,padding_bits,packetized_bits,packet_count,compute_cycles,memory_cycles,noc_cycles,post_op_cycles,conversion_cycles,conversion_energy_pj,total_or_sequential_cycles,canonical_trace_hash,compute_timing_distinguishes_arithmetic_profile,arithmetic_profile_hash,model_hash,dataset_hash,workload_hash,mapping_hash,transport_hash,lowering_hash
layer,c-4e2486f0f56c5ab5,fp8_a16,0,fc1,compute_only,10000,30325760,0,30325760,236920,75000,0,0,0,0,0,75000,468a0897aadfb6b2e6ba8f8a9cb5dc05afc2c8cc26908851b0e17a94ec94e33c,False,f7b7a2441d48d596fb2d80f6309bf0556122ebe908e468f398921aa5040597a1,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-51671ac1cdb71e77,fp16_a16,0,conv1,full_system,10000,2856962400,32,2856962432,22320019,210938,22320024,22320019,2700000,2790004,114278496,50340985,0c003474f1c3eeb44f784ea566f7fc6d975a8971ac699e08c7540373d895996f,False,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-54642396896f342e,fp8_a8,1,conv1,full_system,10000,1428481200,80,1428481280,11160010,210938,11160015,11160010,2700000,1395002,57139248,26625965,8056d6defa8fac4962f0f63f1e436358b31f6cadfea21065c2031e04ad2aa3cb,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-55d28889de33e30e,fp8_a8,0,fc2,full_system,10000,16400640,0,16400640,128130,24610,128135,128130,52500,16018,656025.6,349393,66792a5f82a8584dad2d0046257acf717a8d36639cbab77f52e49142e78ba8b4,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-572cb1cb9ae5b3ff,fp8_a8,1,fc1,compute_only,10000,30325760,0,30325760,236920,75000,0,0,0,0,0,75000,468a0897aadfb6b2e6ba8f8a9cb5dc05afc2c8cc26908851b0e17a94ec94e33c,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-580d77855c6bffb4,fp32_a32,1,fc1,compute_only,10000,121303040,0,121303040,947680,75000,0,0,0,0,0,75000,468a0897aadfb6b2e6ba8f8a9cb5dc05afc2c8cc26908851b0e17a94ec94e33c,False,d6bc3bc19dbaf462913fa17a720130755ac9e00ae3684979f2900b9641d9b008,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-666224cc5f810a38,fp8_a8,1,conv1,compute_only,10000,1428481200,80,1428481280,11160010,210938,0,0,0,0,0,210938,ca4747d4c15c00f601c6542d6412ca79fb98d56c6d66bfd184491a2d506bab5e,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-6837f2f805940681,fp32_a32,1,fc1,full_system,10000,121303040,0,121303040,947680,75000,947685,947680,75000,0,0,2045365,a47b530e3587edde3cdbbf3d5f836d1910d5912509a1536e12f13586c5a69935,False,d6bc3bc19dbaf462913fa17a720130755ac9e00ae3684979f2900b9641d9b008,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-6aa7e86adcf46dff,fp8_a16,1,fc3,compute_only,10000,7526720,64,7526784,58803,2051,0,0,0,0,0,2051,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,False,f7b7a2441d48d596fb2d80f6309bf0556122ebe908e468f398921aa5040597a1,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-71997dfc02691c78,fp16_a16,0,fc1,full_system,10000,60651520,0,60651520,473840,75000,473845,473840,75000,59230,2426060.8000000003,1156915,ebe4da0153a9d4ea7e0ee0c9089028acdd858030b4b043a6a0c9c0c8c0a2c507,False,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-7385bfb87a732009,fp8_a16,0,conv1,compute_only,10000,1428481200,80,1428481280,11160010,210938,0,0,0,0,0,210938,ca4747d4c15c00f601c6542d6412ca79fb98d56c6d66bfd184491a2d506bab5e,False,f7b7a2441d48d596fb2d80f6309bf0556122ebe908e468f398921aa5040597a1,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-7b21e44302fd23a2,fp16_a16,0,conv1,compute_only,10000,2856962400,32,2856962432,22320019,210938,0,0,0,0,0,210938,ca4747d4c15c00f601c6542d6412ca79fb98d56c6d66bfd184491a2d506bab5e,False,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-80509c8294a789bc,fp16_a16,0,fc2,full_system,10000,32801280,0,32801280,256260,24610,256265,256260,52500,32034,1312051.2,621669,44911b482fb55abbb7420ce72279bdaeb7a5577c40c0ddebb66715e1f662f205,False,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-8284b64965451e05,fp8_a8,0,fc2,compute_only,10000,16400640,0,16400640,128130,24610,0,0,0,0,0,24610,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-8af78c226c3fc6ba,fp16_a16,1,conv2,compute_only,10000,1699878400,0,1699878400,13280300,375000,0,0,0,0,0,375000,792cddc03f0835d4bf294c90296721e0bfd9784d3473dce7986d22b6b14f9a7a,False,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-8ef9ac1face4059e,fp8_a16,0,fc1,full_system,10000,30325760,0,30325760,236920,75000,236925,236920,75000,29616,1213030.4000000001,653461,6daf9d587b3e78887455db6e90d521d45892e970baa895299e0154519a2ab1d0,False,f7b7a2441d48d596fb2d80f6309bf0556122ebe908e468f398921aa5040597a1,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-8f62dc547f100bc9,fp32_a32,0,fc2,compute_only,10000,65602560,0,65602560,512520,24610,0,0,0,0,0,24610,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,False,d6bc3bc19dbaf462913fa17a720130755ac9e00ae3684979f2900b9641d9b008,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-8f749317d2099d32,fp8_a16,0,fc3,compute_only,10000,7526720,64,7526784,58803,2051,0,0,0,0,0,2051,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,False,f7b7a2441d48d596fb2d80f6309bf0556122ebe908e468f398921aa5040597a1,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-93d8b0c82f478847,fp32_a32,0,fc3,compute_only,10000,30106880,0,30106880,235210,2051,0,0,0,0,0,2051,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,False,d6bc3bc19dbaf462913fa17a720130755ac9e00ae3684979f2900b9641d9b008,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-94abb2e761e82cdb,fp8_a8,1,fc3,full_system,10000,7526720,64,7526784,58803,2051,58808,58803,0,7352,301068.8,127014,7e491e74e04f8f534547e270a09816833a189ac6d7aded2abecab24677b63c6d,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-951bd926a5296215,fp8_a8,0,fc3,full_system,10000,7526720,64,7526784,58803,2051,58808,58803,0,7352,301068.8,127014,7e491e74e04f8f534547e270a09816833a189ac6d7aded2abecab24677b63c6d,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-9cf7aa66673e5d48,fp8_a8,0,fc1,full_system,10000,30325760,0,30325760,236920,75000,236925,236920,75000,29616,1213030.4000000001,653461,6daf9d587b3e78887455db6e90d521d45892e970baa895299e0154519a2ab1d0,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-9e02c8e5d6feacce,fp16_a16,1,fc1,full_system,10000,60651520,0,60651520,473840,75000,473845,473840,75000,59230,2426060.8000000003,1156915,ebe4da0153a9d4ea7e0ee0c9089028acdd858030b4b043a6a0c9c0c8c0a2c507,False,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-9f27055756a26e66,fp8_a8,0,fc3,compute_only,10000,7526720,64,7526784,58803,2051,0,0,0,0,0,2051,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-a11c216ea2d55c0b,fp16_a16,0,fc2,compute_only,10000,32801280,0,32801280,256260,24610,0,0,0,0,0,24610,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,False,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-a1bec922a7689d56,fp32_a32,1,fc3,compute_only,10000,30106880,0,30106880,235210,2051,0,0,0,0,0,2051,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,False,d6bc3bc19dbaf462913fa17a720130755ac9e00ae3684979f2900b9641d9b008,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-a368ba8dbfc0b692,fp8_a16,1,conv1,full_system,10000,1428481200,80,1428481280,11160010,210938,11160015,11160010,2700000,1395002,57139248,26625965,8056d6defa8fac4962f0f63f1e436358b31f6cadfea21065c2031e04ad2aa3cb,False,f7b7a2441d48d596fb2d80f6309bf0556122ebe908e468f398921aa5040597a1,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-a4a2ae84468fc5e5,fp16_a16,0,fc3,compute_only,10000,15053440,0,15053440,117605,2051,0,0,0,0,0,2051,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,False,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-adcc78df8706888d,fp16_a16,1,fc3,compute_only,10000,15053440,0,15053440,117605,2051,0,0,0,0,0,2051,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,False,9196e177d37aac9db152e9d397bb83e19c19e0aa5e2740a47fee1bc4caabb476,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
layer,c-ae7b64cbbb1543f2,fp8_a8,1,conv2,compute_only,10000,849939200,0,849939200,6640150,375000,0,0,0,0,0,375000,792cddc03f0835d4bf294c90296721e0bfd9784d3473dce7986d22b6b14f9a7a,False,bfbe2411c0a847e4fa8620482ad4d9fb00dc144ca7de3a7efe8e1e82419d4769,0aa004a4bd1bbbdaf550a115ad0ed5cda16b6269b8753b97bd076cd1fc55d662,966dd94342cd0fe7cdd440e38d300a44dbd251332ad1676a20d9aed674435791,52a866d12f0d58d5214ba4d0e8cdbc9545d18198f0b434559907a5298c4af0be,1ab0c62fdab06a43ac0f8b29e8c8dc9fe3f80f6928b3257402670f799948c3a5,0db37a43e7fd987f613d82cd84c81b1dc37a34fb008fcc3ccece6cdcf0d56e78,d2cf194a94ceadff199234521a0a2767d524bf9029ccb897071c4c8a2eeb7adb
