case_id,repeat,sequence,cycle,phase,packet_id,event_type,component_id,link_id,occupancy_before,occupancy_after,granted,delivered,stall_reason,reason_detail,source_path,source_sha256,source_row_key,metric_definition,evidence_level
noc_n06_contend_512,0,0,0,0,noc_n06_contend_512-p0,PacketInjection,source0,,-1,-1,False,False,,phase=0;visible_cycle=1;exact_operand=true;requested_injection_cycle=0;packet_type=Activation;total_bits=512;request_id=,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=0,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,1,0,0,noc_n06_contend_512-p1,PacketInjection,source1,,-1,-1,False,False,,phase=0;visible_cycle=1;exact_operand=true;requested_injection_cycle=0;packet_type=Activation;total_bits=512;request_id=,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=1,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,2,1,5,noc_n06_contend_512-p0,LinkTransfer,source0,source0_router,-1,-1,True,False,,"phase=5;arrival_cycle=5;link_latency=1;routing=xy;axis=y;direction=south;selected=source0_router;from=1,0;target=2,1",experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=2,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,3,1,5,noc_n06_contend_512-p1,LinkTransfer,source1,source1_router,-1,-1,True,False,,"phase=5;arrival_cycle=5;link_latency=1;routing=xy;axis=y;direction=north;selected=source1_router;from=1,2;target=2,1",experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=3,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,4,5,1,noc_n06_contend_512-p0,BufferOccupancy,router,source0_router,4,4,False,False,,buffer=router_input;input_port=north;occupancy=4;buffer_depth=4,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=4,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,5,5,1,noc_n06_contend_512-p0,PacketMove,router,source0_router,-1,-1,False,False,,,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=5,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,6,5,1,noc_n06_contend_512-p1,BufferOccupancy,router,source1_router,4,4,False,False,,buffer=router_input;input_port=south;occupancy=4;buffer_depth=4,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=6,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,7,5,1,noc_n06_contend_512-p1,PacketMove,router,source1_router,-1,-1,False,False,,,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=7,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,8,6,3,noc_n06_contend_512-p0,Arbitration,router,router_sink,-1,-1,True,False,,"phase=3;policy=round_robin;rr_start=north;winner_port=north;request_ports=north,south;rr_next=south;routing=xy;axis=x;direction=east;selected=router_sink;from=1,1;target=2,1",experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=8,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,9,6,3,noc_n06_contend_512-p1,Stall,router,router_sink,-1,-1,False,False,RouterConflict,phase=3;RouterConflict;stall_reason=RouterConflict;policy=round_robin;winner=noc_n06_contend_512-p0;winner_port=north;request_port=south,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=9,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,10,6,5,noc_n06_contend_512-p0,LinkTransfer,router,router_sink,-1,-1,True,False,,"phase=5;arrival_cycle=10;link_latency=1;routing=xy;axis=x;direction=east;selected=router_sink;from=1,1;target=2,1;input_port=north",experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=10,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,11,7,5,noc_n06_contend_512-p1,Stall,router,router_sink,-1,-1,False,False,LinkBusy,phase=5;LinkBusy;stall_reason=LinkBusy;input_port=south;output_link=router_sink,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=11,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,12,8,5,noc_n06_contend_512-p1,Stall,router,router_sink,-1,-1,False,False,LinkBusy,phase=5;LinkBusy;stall_reason=LinkBusy;input_port=south;output_link=router_sink,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=12,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,13,9,5,noc_n06_contend_512-p1,Stall,router,router_sink,-1,-1,False,False,LinkBusy,phase=5;LinkBusy;stall_reason=LinkBusy;input_port=south;output_link=router_sink,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=13,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,14,10,1,noc_n06_contend_512-p0,PacketMove,sink,router_sink,-1,-1,False,True,,,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=14,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,15,10,3,noc_n06_contend_512-p1,Arbitration,router,router_sink,-1,-1,True,False,,"phase=3;policy=round_robin;rr_start=south;winner_port=south;request_ports=south;rr_next=east;routing=xy;axis=x;direction=east;selected=router_sink;from=1,1;target=2,1",experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=15,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,16,10,5,noc_n06_contend_512-p1,LinkTransfer,router,router_sink,-1,-1,True,False,,"phase=5;arrival_cycle=14;link_latency=1;routing=xy;axis=x;direction=east;selected=router_sink;from=1,1;target=2,1;input_port=south",experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=16,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
noc_n06_contend_512,0,17,14,1,noc_n06_contend_512-p1,PacketMove,sink,router_sink,-1,-1,False,True,,,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_cycle_timeline.csv,800ce1f6e0dbb4a5c0e4bb01b1b67a570bdbfaf5d5993f0165ed69a754d43f76,noc_n06_contend_512/r0/sequence=17,typed committed STAGE event; stall_reason is parsed only from the recorded Reason field,Exact STAGE trace
